Parameters,ml238,decoquinate
EC50,0.00634247691672953,0.0129203335471926
H,4.67772286255978,2.11052714905791
Ucinf,25.7383653994449,21.2783921497856
chi2,3411.52002930833,3601.94087898582
good_of_fit,0,0
