Parameters,carfilzomib,artenimol
EC50,0.000813415350053414,0.0164313548201695
H,3.4712863962133,9.99999999999999
Ucinf,0,1.12553508712289
chi2,119.937811346524,927.097764054164
good_of_fit,0,0
