Parameters,lidoflazine,halofantrine
EC50,0.00048222204811733,3.36370223786714
H,2.06202938032666,1.26929715105013
Ucinf,0.223234075207135,0
chi2,124.151052695276,333.023352574743
good_of_fit,0,0
