Parameters,rifampicin,lumefantrine
EC50,0.0116800720413481,0.32174084026903
H,9.99999999999999,1.64350504988214
Ucinf,11.4175793523949,0
chi2,4761.12267527342,394.896207668024
good_of_fit,0,0
