Parameters,quisinostathydrochloride,proguanil
EC50,0.0677794677551001,0.0477155030184741
H,10,9.99999999999994
Ucinf,92.5351690598629,0
chi2,37464.5952821697,32026.4252971739
good_of_fit,0,0
