Parameters,ivermectin,clobetasonebutyrate
EC50,1.16653482370313,1.30520879356032
H,1.93438340868185,2.40887725757429
Ucinf,1.55827789863667,6.2128289145012
chi2,262.716564989512,290.197503651154
good_of_fit,0,0
