Parameters,nvpbgt226,chloroquine
EC50,0.0200518480892671,0.00100296070601305
H,6.05880295900862,9.99999999999992
Ucinf,8.04451594752396,9.39323044656233
chi2,563.828091773661,8190.6963992529
good_of_fit,0,0
