Parameters,zstk474,nvpbgt226
EC50,0.00495894234730125,0.542465766207159
H,9.99999999999959,9.99999999999997
Ucinf,56.438805728681,0
chi2,52715.2650740334,28937.2943096464
good_of_fit,0,0
