Parameters,nanchangmycin,artenimol
EC50,0.00406737583147216,0.00146055745742185
H,4.49756465101009,2.60432144199971
Ucinf,0,3.01650893282208
chi2,43.2045723980902,156.220663094461
good_of_fit,0,0
