Parameters,manoalide,artesunate
EC50,0.0181129057494413,9.99999999999988
H,6.79835185182175,9.99999999999995
Ucinf,3.02318182281175,84.2072288253412
chi2,57.6452148710283,94.9334560453061
good_of_fit,0,0
