Parameters,chloroquine,lumefantrine
EC50,0.00376236431932199,0.0293207976268651
H,2.48363402844295,8.90724805712254
Ucinf,0,0.482137352415535
chi2,168.571245124725,427.110878750659
good_of_fit,0,0
