Parameters,panobinostatlbh589,artesunate
EC50,0.00526392773008245,0.0499714399228527
H,1.2929814013951,2.68028109609876
Ucinf,0,4.58874691058764
chi2,4968.07172071987,3916.62816101466
good_of_fit,0,0
