Parameters,pkc412,artesunate
EC50,0.0120447342937065,2.49999999999999
H,9.99999999999973,9.9999999999994
Ucinf,43.889344830096,71.3681748732134
chi2,23769.6237876912,33440.4359028876
good_of_fit,0,0
