Parameters,reserpine,artenimol
EC50,0.00301537246629664,1.07111589083986
H,2.8173917923739,4.42439124691066
Ucinf,2.51259606237499,8.87620090084383
chi2,3974.67304752775,3262.25875892814
good_of_fit,0,0
