Parameters,genz669178,amodiaquine
EC50,0.118400627115259,0.0239342378626306
H,4.14335350468034,1.27558268813403
Ucinf,1.64159575777541,0
chi2,1703.42425114873,1690.21387527383
good_of_fit,0,0
