Parameters,perhexiline,artesunate
EC50,0.0111524711019125,0.150341430360451
H,9.99999999999998,9.99999999999999
Ucinf,45.0074433612109,75.7339957383654
chi2,41974.8281708841,4889.99981358076
good_of_fit,0,0
