Parameters,emetine,artemether
EC50,0.00992685103033193,0.0850157098940597
H,9.07280423769839,9.99999999999998
Ucinf,7.79848587698118,31.6758418923124
chi2,20717.6953754755,40409.6920312304
good_of_fit,0,0
