Parameters,nitd609,proguanil
EC50,0.0569865694958261,0.00214338091769367
H,1.83708894589245,1.43559373559828
Ucinf,11.4668363040334,0
chi2,2336.42659304562,7891.86207478234
good_of_fit,0,0
