Parameters,emetine,nvpbgt226
EC50,0.00110290672616666,0.165070362267943
H,9.99999999999998,9.99999999999997
Ucinf,8.65657730183468,7.8901214575249
chi2,12001.3771387976,9595.32143990008
good_of_fit,0,0
