Parameters,mefloquine,lumefantrine
EC50,0.0132592252807685,0.0203262816306586
H,9.99999999999998,3.42986441385305
Ucinf,15.2597825685261,3.74779773504845
chi2,6824.61304889044,7038.47502790021
good_of_fit,0,0
