Parameters,kn62,artenimol
EC50,0.0037046254121178,0.768461079505862
H,3.94971323583945,1.78548787934955
Ucinf,13.9670109955123,7.96643694779092
chi2,1744.12067745993,628.546385830209
good_of_fit,0,0
