Parameters,pkc412,tafenoquine
EC50,0.264150731422876,1.05382029091987
H,9.99999999999999,2.84761023194174
Ucinf,61.5189034221469,0
chi2,32873.0748126883,16820.5582534327
good_of_fit,0,0
