Parameters,genz669178,nitd609
EC50,0.00127933021094132,0.051006027591241
H,9.99999999999982,9.99999999999998
Ucinf,0,64.7585027358279
chi2,29739.9304718986,30593.3881038132
good_of_fit,0,0
