Parameters,nvpbgt226,artemether
EC50,0.023057940969983,0.00197553186006281
H,5.8381433688708,6.39285863869981
Ucinf,0,11.0657286210862
chi2,108.863184343381,116.551034954951
good_of_fit,0,0
