Parameters,kn62,nvpbgt226
EC50,0.0021414210744829,1.7070192887526
H,6.72378850077247,1.95179054985122
Ucinf,15.992143204522,0
chi2,84.2339458908951,233.860886232633
good_of_fit,0,0
