Parameters,reserpine,artenimol
EC50,0.00251005853612526,2.08604565462859
H,3.85191673347655,3.27293483828667
Ucinf,0.493448039452932,0
chi2,27.7987407010167,209.983468624898
good_of_fit,0,0
