Parameters,alvespimycinhydrochloride,reserpine
EC50,3.05178551119525,0.439706618909885
H,9.9999999999995,9.99999999999999
Ucinf,85.549162663779,0
chi2,77544.4846049689,24848.8919650799
good_of_fit,0,0
