Parameters,proguanil,atovaquone
EC50,0.00257833171035743,0.120655918773655
H,1.7785106852001,3.2241783586398
Ucinf,9.00046374907886,0
chi2,861.518910294303,477.707124758614
good_of_fit,0,0
