Parameters,kn62,methyleneblue
EC50,0.0156257561990528,0.859413804733441
H,5.51462529839587,10
Ucinf,15.1778673683015,9.96203344550703
chi2,5534.67087399437,1688.25443004495
good_of_fit,0,0
