Parameters,manidipinedihydrochloride,mefloquine
EC50,0.0474275011810896,6.74353999214995
H,2.92049643332677,2.42349250839468
Ucinf,0,0
chi2,140.26672404234,178.405436899315
good_of_fit,0,0
