Parameters,genz669178,atovaquone
EC50,0.004332209141451,0.0185952342684258
H,4.91785405991523,3.7417109144899
Ucinf,22.5390547515024,0
chi2,21821.3900812889,6130.17806047496
good_of_fit,0,0
