Parameters,gsk2126458,artemether
EC50,0.0297215731695157,0.0485911162266174
H,9.99999999999997,9.99999999999996
Ucinf,23.1694540258868,0
chi2,8489.66099194984,3081.1690176643
good_of_fit,0,0
