Parameters,manidipinedihydrochloride,halofantrine
EC50,0.000684166090233018,2.49381703656931
H,2.99024441636492,2.18436307467452
Ucinf,0,0
chi2,100.809710126039,393.943492737002
good_of_fit,0,0
