Parameters,tafenoquine,methyleneblue
EC50,0.02379355912496,0.190039991695691
H,6.82106041576976,3.07538276636543
Ucinf,2.71492153666169,11.1566995344914
chi2,76.8751115476637,8786.45142062415
good_of_fit,0,0
