Parameters,lumefantrine,artenimol
EC50,0.00149917445771477,0.0148043526524913
H,3.75569851212567,3.54546049767463
Ucinf,0.512272826352161,1.40728946293729
chi2,66.6518634879981,86.6214459719261
good_of_fit,0,0
