Parameters,pyronaridine,gramicidin
EC50,5.73588270649998e-05,0.0271678726131435
H,1.96843136707526,9.99999999999994
Ucinf,0,1.29291035539915
chi2,6.87713009566974,2123.03627678784
good_of_fit,0,0
