Parameters,mefloquine,nitd609
EC50,0.00252200659273246,0.0383396283785424
H,9.99999999543133,1.81964726549149
Ucinf,37.1975424090579,19.9963616290133
chi2,6609795587.67437,16663.6684716058
good_of_fit,0,0
