Parameters,nvpbgt226,mefloquine
EC50,0.143841940460531,0.00208134783449189
H,3.2089240207737,6.64910067907046
Ucinf,0,75.4369676862946
chi2,10135.5845656905,15941.9356576994
good_of_fit,0,0
