Parameters,nicardipine,methyleneblue
EC50,0.0274050058989701,6.03825115620396
H,4.91041473225784,2.04885885893312
Ucinf,2.61141351782098,0
chi2,33.0199082848802,95.2367964967741
good_of_fit,0,0
