Parameters,lomerizinedihydrochloride,artenimol
EC50,0.00229445058926348,0.443396827861387
H,3.97933996715828,2.98805878218399
Ucinf,36.8408095809175,57.4036374698779
chi2,11933.0111498145,1796.56597164326
good_of_fit,0,0
