Parameters,proguanil,artesunate
EC50,0.0113779005288828,0.0784637626558347
H,10,2.01216688804413
Ucinf,7.21430727575105,17.8936152511456
chi2,7353.26503843005,6828.51152182009
good_of_fit,0,0
