Parameters,manidipinedihydrochloride,lumefantrine
EC50,0.0160528414293702,6.36304906162771
H,4.21879865239268,1.48629890045218
Ucinf,4.13896707770304,0
chi2,98.515684339478,26.8597488785658
good_of_fit,0,0
