Parameters,mefloquine,artenimol
EC50,0.00250681396096138,0.0260472866470588
H,4.47234630558789,2.58992776165141
Ucinf,1.07571322692545,0
chi2,92.4453904666343,112.281126971536
good_of_fit,0,0
