Parameters,lomerizinedihydrochloride,halofantrine
EC50,0.000742329673067038,3.57953078336824
H,3.12959286629995,2.84888504398811
Ucinf,0.149904295683839,0
chi2,26.9093807994538,317.265436912908
good_of_fit,0,0
