Parameters,methylrosanilinechloride,proguanil
EC50,0.0241836817596678,0.0188604034454346
H,2.63676438313763,6.22185952450863
Ucinf,20.6311487199485,28.440032206564
chi2,237.446367110866,240.967012648411
good_of_fit,0,0
