Parameters,tafenoquine,halofantrine
EC50,0.00095493262220139,0.103078158162281
H,3.29269602356332,2.30033232812827
Ucinf,0.680151021725556,6.50818190195323
chi2,252.673705781542,311.146643135391
good_of_fit,0,0
