Parameters,alvespimycinhydrochloride,artemether
EC50,0.0187303002599478,0.179953243897603
H,9.99999999999989,10
Ucinf,50.3170481270823,15.7825654262878
chi2,16782.2403076646,11467.8102278683
good_of_fit,0,0
