Parameters,panobinostatlbh589,atovaquone
EC50,0.00402786626644939,0.0656886599780439
H,1.94502510220127,2.75505955960579
Ucinf,5.73686709840694,2.75968172170509
chi2,119.630080307554,112.391520531642
good_of_fit,0,0
