Parameters,nanchangmycin,artesunate
EC50,0.0151466887681682,0.00124684634323369
H,7.30930369536546,2.44268250110783
Ucinf,1.94656824677237,4.52720851175366
chi2,84.562436675073,115.866371072008
good_of_fit,0,0
