Parameters,propafenonehydrochloride,methyleneblue
EC50,0.015496155050693,7.59950680322242
H,5.34579747558051,9.99999999999998
Ucinf,41.5928389729363,0
chi2,51104.5828057796,63007.8216976805
good_of_fit,0,0
