Parameters,azithromycin,halofantrine
EC50,0.000601517681483253,0.315106852072361
H,1.97671693674659,3.60620100216137
Ucinf,0,44.9413250569909
chi2,210.161188533056,443.732120469589
good_of_fit,0,0
