Parameters,quisinostathydrochloride,proguanil
EC50,0.0870525998525583,0.00503650273058654
H,1.63237405799846,3.36863135096748
Ucinf,8.75865763999274,7.34554496681065
chi2,1348.73166208908,241.900624465843
good_of_fit,0,0
