Parameters,manidipinedihydrochloride,methyleneblue
EC50,0.0167273543115105,9.31347469633195
H,9.99999999999973,9.99999999999998
Ucinf,31.3255873004244,0
chi2,32244.4507785367,6699.63871502584
good_of_fit,0,0
