Parameters,pkc412,mefloquine
EC50,0.0350713102273211,0.917026703778785
H,9.99999999999999,9.99999999999997
Ucinf,35.6375355542052,32.6412054991709
chi2,4748.32688227549,17451.1252029154
good_of_fit,0,0
