Parameters,amiodaronehydrochloride,ml238
EC50,0.00916553134163141,4.09501257380156
H,10,2.84806293726254
Ucinf,62.0496598165517,49.0025442683305
chi2,14294.5183508728,10124986201.0172
good_of_fit,0,0
