Parameters,panobinostatlbh589,artenimol
EC50,0.00427969899059883,0.34188595380129
H,9.99999999999996,9.07500379578082
Ucinf,57.2628796269741,0
chi2,60898.6419022027,28488.4914501909
good_of_fit,0,0
