Parameters,manidipinedihydrochloride,artesunate
EC50,0.0174009928085379,9.05082432570782
H,6.45492058011308,1.54969052027807
Ucinf,2.87511331348472,0
chi2,32.5442966882551,68.1510507861476
good_of_fit,0,0
