Folder,TITLE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,ANT_SUM_SAN,ANT_SUM_LOEWE,ANT_SUM_BLISS,ANT_SUM_HSA,QA
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,3methyladenine,lumefantrine,0.025,0.5,0.00442694801021138,4.35911855313074,2.96338446212814,0.5,10,75.6336323318231,0,-16.9792273146889,-15.8728709185138,-15.8702138985295,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,3methyladenine,lumefantrine,0.05,1,0.0147217212885877,2.95489307857343,0.330833580372175,1,0,100,0,-13.8324078066024,-13.8324078066024,-13.8324078066024,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,3methyladenine,lumefantrine,0.05,1,0.00873902661197498,3.82799995915782,7.86815112115494,1,0,100,0,-68.065935076512,-68.065935076512,-68.065935076512,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0187303002599478,9.99999999999989,50.3170481270823,0.179953243897603,10,15.7825654262878,0,-3816.68313424716,-3819.91039514235,-3815.08267280434,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0337150809577749,5.86698796109093,0,0.140657068715643,4.06569589660719,1.85428819299474,0,-13.2520036173945,-9.33340265534657,-9.31655272403975,1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0189677499854339,4.2536560579891,27.8436503418189,0.263420133119119,2.91942367693716,0,0,-51.9538467882968,-52.9346749141774,-51.2971356100909,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00258905215068505,3.12413481082045,23.8680683240436,0.105540924383617,9.99999999999883,53.5614575343821,0,-7374.95452742879,-7378.08079673656,-7365.32839885,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00251054439330273,4.23417709530091,0.809888208858683,0.137170813507816,3.86929639485432,2.04929917393264,0,-12.0251011506342,-5.8445468519453,-5.83384141903912,1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00253001232412501,2.82462468250901,1.36579683411297,0.291483180359768,2.84332493877359,4.99532158735779,0,-42.3742298611211,-30.8265282146997,-29.5388002599644,-1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.00960795347017824,9.99999999999998,58.5837394509502,0.0590890176773283,4.48744722247699,28.226457049843,0,-6679.88636955343,-6674.73270249714,-6671.94543712895,-1
