Parameters,atovaquone,halofantrine
EC50,0.00126118568358596,0.00109945861371825
H,4.19748353241374,1.92834344928183
Ucinf,0,4.68497408909698
chi2,47.1311455071602,84.2439212294691
good_of_fit,0,0
