Parameters,bix01294,artesunate
EC50,0.0104502336533899,0.0309958763682307
H,9.99999999999981,9.99999999999704
Ucinf,8.1547999010146,12.5932452358418
chi2,7654.87638940208,9710.54482891046
good_of_fit,0,0
