Parameters,genz669178,clobetasonebutyrate
EC50,1.30928345296621,0.0174159464660241
H,1.97138253049451,3.898182244288
Ucinf,1.46616521954785,12.4127630119727
chi2,486.755763327645,766.917784939887
good_of_fit,0,0
