Parameters,decoquinate,nitd609
EC50,0.00315612318182107,0.00667627797709048
H,8.56905771616596,2.25680532079005
Ucinf,0,3.27867763805631
chi2,80.3711593566749,11.5507612165751
good_of_fit,0,0
