Parameters,gramicidin,nitd609
EC50,0.00171479568724541,0.000247974938087473
H,5.6663541969472,10
Ucinf,0.074805106794873,0.0720208770218944
chi2,124.281628244007,32.8088427078722
good_of_fit,0,0
