Parameters,methotrexate,gramicidin
EC50,3.69338884036593e-05,0.0524920921206742
H,1.15924589814852,3.51671486440018
Ucinf,0,3.78700145447014
chi2,4.65967251498372,56.9785370577406
good_of_fit,0,0
